Mid,Title,ReleaseTime,OutTime,Time,message,AsBasicMessage,DeprecatedFlag
1,蓝桥杯预选赛通知,"2023-03-28 20:55:56","2024-03-28 20:55:56",NULL,"{"file": [], "image": [], "message": "蓝桥杯比赛消息通知"}",0,0
2,其他信息,"2023-03-28 20:55:56","2024-03-28 20:55:56",NULL,"{"file": [], "image": [], "message": "其他信息"}",0,0
3,蓝桥杯简介,"2023-03-28 20:55:56","2024-03-28 20:55:56",NULL,"{"file": [], "image": [], "message": "蓝桥杯比赛简介"}",0,0
4,蓝桥杯预选赛成功举办,"2022-11-14 08:45:54","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "蓝桥杯预选赛成功举办"}",0,0
5,总决赛荣获嘉奖,"2022-07-04 09:33:35","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "总决赛荣获嘉奖"}",0,0
6,蓝桥杯市赛获奖,"2022-05-29 10:43:44","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "蓝桥杯市赛获奖"}",0,0
7,互联网+简介,"2016-02-23 10:43:44","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "互联网+简介"}",0,0
8,总决赛取得最好成绩,"2022-12-06 11:23:24","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "总决赛取得最好成绩"}",0,0
9,互联网+校内选拔赛获奖名单公示,"2022-08-20 08:43:24","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "互联网+校内选拔赛获奖名单公示"}",0,0
10,互联网+校赛启动动员会,"2022-03-23 09:45:14","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "互联网+校赛启动动员会"}",0,0
11,第八届互联网+预参赛手册,"2021-11-20 11:35:43","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "第八届互联网+预参赛手册"}",0,0
12,计算机设计大赛简介,"2019-12-07 09:45:44","2032-10-07 08:05:54",NULL,"{"file": [], "image": [], "message": "计算机设计大赛简介"}",0,0
13,第十六届中国大学生计算机设计大赛预通知,"2022-11-08 08:35:04","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "第十六届中国大学生计算机设计大赛预通知"}",0,0
14,第十五届计算机设计大赛获佳绩,"2022-09-21 11:05:14","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "第十五届计算机设计大赛获佳绩"}",0,0
15,数学建模比赛简介,"2015-10-07 08:05:54","2032-10-07 08:05:54",NULL,"{"file": [], "image": [], "message": "数学建模比赛简介"}",0,0
16,数学建模竞赛证书领取,"2022-09-22 15:35:24","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "数学建模竞赛证书领取"}",0,0
17,数学建模校内选拔赛,"2022-04-26 13:25:04","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "数学建模校内选拔赛"}",0,0
18,荣获美赛一等奖,"2021-04-27 18:45:32","2023-12-31 23:59:59",NULL,"{"file": [], "image": [], "message": "荣获美赛一等奖"}",0,0
